title,company,description,required_majors
Software Engineer,Google,"Developing scalable backend systems for Google products using Python and Go.","Computer Engineering Pr.;Computer Engineering;Software Engineering"
Frontend Developer,Microsoft,"Building intuitive user interfaces for Microsoft products using React and TypeScript.","Computer Engineering Pr.;Computer Engineering;Software Engineering"
Full Stack Developer,Amazon,"Creating end-to-end solutions for Amazon Web Services using Node.js and React.","Computer Engineering Pr.;Computer Engineering;Software Engineering"
Machine Learning Engineer,IBM,"Designing and implementing machine learning models for enterprise solutions.","Computer Engineering Pr.;Computer Engineering;Data Science"
Hardware Engineer,Samsung,"Designing and testing electronic circuits for consumer devices.","Electrical Engineering;Computer Engineering;Electronics Engineering"
Chip Architect,Intel,"Designing processor architecture and optimizing performance.","Electrical Engineering;Computer Engineering;Electronics Engineering"
Mechanical Design Engineer,Toyota,"Designing and testing mechanical components for automotive applications.","Mechanical Engineering"
Renewable Energy Engineer,Tesla,"Developing innovative solutions for energy storage and renewable energy.","Electrical Engineering;Mechanical Engineering;Energy Engineering"
Structural Engineer,AECOM,"Designing and analyzing structural systems for buildings and infrastructure.","Civil Engineering;Structural Engineering"
Environmental Engineer,Environmental Agency,"Conducting environmental assessments and developing sustainable solutions.","Civil Engineering;Environmental Engineering"
DevOps Engineer,Netflix,"Implementing CI/CD pipelines and managing cloud infrastructure for streaming services.","Computer Engineering Pr.;Computer Engineering;Software Engineering"
Data Engineer,Spotify,"Building data pipelines and infrastructure for analytics and machine learning.","Computer Engineering Pr.;Computer Engineering;Data Science"
Cloud Architect,AWS,"Designing scalable cloud architectures and solutions for enterprise clients.","Computer Engineering Pr.;Computer Engineering;Software Engineering"
Mobile App Developer,Apple,"Creating iOS applications and frameworks using Swift and UIKit.","Computer Engineering Pr.;Computer Engineering;Software Engineering"
Game Developer,Electronic Arts,"Developing game mechanics and systems using Unity and C#.","Computer Engineering Pr.;Computer Engineering;Game Development"
Security Engineer,Cisco,"Implementing security systems and protocols to protect enterprise networks.","Computer Engineering Pr.;Computer Engineering;Cybersecurity"
Database Administrator,Oracle,"Managing and optimizing database systems and ensuring data integrity.","Computer Engineering Pr.;Computer Engineering;Information Systems"
QA Engineer,Ubisoft,"Testing software applications and developing automated testing frameworks.","Computer Engineering Pr.;Computer Engineering;Software Engineering"
Systems Analyst,Accenture,"Analyzing business requirements and designing IT solutions.","Computer Engineering Pr.;Computer Engineering;Information Systems"
Embedded Systems Engineer,Bosch,"Developing firmware and software for embedded devices in automotive systems.","Computer Engineering Pr.;Computer Engineering;Electronics Engineering"
AI Research Engineer,DeepMind,"Conducting research in artificial intelligence and developing algorithms.","Computer Engineering Pr.;Computer Engineering;Artificial Intelligence"
Blockchain Developer,Ethereum,"Building decentralized applications and smart contracts.","Computer Engineering Pr.;Computer Engineering;Software Engineering"
Augmented Reality Developer,Meta,"Creating AR/VR experiences and applications for metaverse platforms.","Computer Engineering Pr.;Computer Engineering;Software Engineering"
Computer Vision Engineer,NVIDIA,"Developing algorithms for image recognition and processing.","Computer Engineering Pr.;Computer Engineering;Artificial Intelligence"
Backend Engineer,Twitter,"Building and maintaining API services and server infrastructure.","Computer Engineering Pr.;Computer Engineering;Software Engineering"
