student_id,company,position,start_date,end_date,description
S001,Google,Software Engineering Intern,2021-06-01,2021-08-31,Developed and optimized backend services for Google Photos
S002,Microsoft,UX Design Intern,2021-06-15,2021-09-15,Worked on interface design for Microsoft Teams
S003,Amazon,Web Development Intern,2021-06-01,2021-08-31,Built e-commerce features using React and AWS
S004,IBM,Data Science Intern,2021-06-15,2021-09-15,Implemented ML models for customer behavior analysis
S005,Samsung,Hardware Engineer Intern,2021-06-01,2021-08-31,Assisted in circuit design and testing for mobile devices
S006,Intel,Chip Design Intern,2021-06-15,2021-09-15,Contributed to processor architecture optimization
S007,Toyota,Mechanical Design Intern,2021-06-01,2021-08-31,Participated in vehicle component design and testing
S008,Tesla,Energy Systems Intern,2021-06-15,2021-09-15,Developed solutions for renewable energy storage
S009,AECOM,Structural Engineering Intern,2021-06-01,2021-08-31,Assisted in building design and structural analysis
S010,Environmental Agency,Environmental Engineer Intern,2021-06-15,2021-09-15,Conducted environmental impact assessments and reporting
