student_id,experience_type,institution_name,position,start_date,end_date,description
S001,internship,Google,Software Engineering Intern,2021-06-01,2021-08-31,Developed and optimized backend services for Google Photos
S002,internship,Microsoft,UX Design Intern,2021-06-15,2021-09-15,Worked on interface design for Microsoft Teams
S001,organization,Computer Society,President,2020-09-01,2022-05-31,Leading the university computer society and organizing tech events
S001,organization,Robotics Club,Member,2019-10-15,2021-06-30,Participated in robotics competitions and projects
S021,internship,Facebook,Software Engineering Intern,2022-06-01,2022-08-31,Contributed to the development of the Facebook mobile app
S022,internship,Apple,Hardware Engineering Intern,2022-06-15,2022-09-15,Assisted in the design and testing of new iPhone components
S023,organization,AI Society,Vice President,2021-09-01,2023-05-31,Organized workshops and events related to Artificial Intelligence
S024,organization,Cybersecurity Club,Member,2020-10-15,2022-06-30,Participated in capture the flag (CTF) competitions
S025,internship,Tesla,Electrical Engineering Intern,2023-06-01,2023-08-31,Worked on the battery management system for Tesla vehicles
S026,internship,Samsung,Electronics Intern,2023-06-15,2023-09-15,Tested and validated new features for Samsung Smart TVs
S027,organization,ASME Student Chapter,President,2022-09-01,2024-05-31,Led the university's American Society of Mechanical Engineers chapter
S028,organization,Engineers Without Borders,Project Lead,2021-10-15,2023-06-30,Managed a project to design a water purification system for a rural community
S029,internship,AECOM,Civil Engineering Intern,2024-06-01,2024-08-31,Assisted in the structural analysis of a new bridge design
S030,internship,Environmental Protection Agency,Environmental Intern,2024-06-15,2024-09-15,Conducted water quality testing and analysis
